campaignid,sample,family,genus,species,count,stage,scientific,caab_code
2020-06_south-west_stereo-BRUVs,01,Carangidae,Pseudocaranx,spp,1,AD,Carangidae Pseudocaranx spp,37337924
2020-06_south-west_stereo-BRUVs,01,Labridae,Austrolabrus,maculatus,2,AD,Labridae Austrolabrus maculatus,37384025
2020-06_south-west_stereo-BRUVs,01,Labridae,Coris,auricularis,5,AD,Labridae Coris auricularis,37384088
2020-06_south-west_stereo-BRUVs,01,Labridae,Ophthalmolepis,lineolatus,2,F,Labridae Ophthalmolepis lineolatus,37384040
2020-06_south-west_stereo-BRUVs,01,Labridae,Pseudolabrus,biserialis,17,AD,Labridae Pseudolabrus biserialis,37384149
2020-06_south-west_stereo-BRUVs,01,Pomacentridae,Chromis,klunzingeri,35,AD,Pomacentridae Chromis klunzingeri,37372044
2020-06_south-west_stereo-BRUVs,01,Microcanthidae,Tilodon,sexfasciatus,1,AD,Microcanthidae Tilodon sexfasciatus,37361003
2020-06_south-west_stereo-BRUVs,01,Serranidae,Caesioperca,spp,14,AD,Serranidae Caesioperca spp,37311919
2020-06_south-west_stereo-BRUVs,01,Serranidae,Hypoplectrodes,nigroruber,1,AD,Serranidae Hypoplectrodes nigroruber,37311037
2020-06_south-west_stereo-BRUVs,01,Sparidae,Chrysophrys,auratus,1,AD,Sparidae Chrysophrys auratus,37353001
2020-06_south-west_stereo-BRUVs,01,Triakidae,Furgaleus,macki,1,AD,Triakidae Furgaleus macki,37017003
2020-06_south-west_stereo-BRUVs,02,Carangidae,Seriola,hippos,1,AD,Carangidae Seriola hippos,37337007
2020-06_south-west_stereo-BRUVs,02,Gerreidae,Parequula,melbournensis,1,AD,Gerreidae Parequula melbournensis,37349001
2020-06_south-west_stereo-BRUVs,02,Labridae,Ophthalmolepis,lineolatus,2,F,Labridae Ophthalmolepis lineolatus,37384040
2020-06_south-west_stereo-BRUVs,02,Labridae,Pseudolabrus,biserialis,10,AD,Labridae Pseudolabrus biserialis,37384149
2020-06_south-west_stereo-BRUVs,02,Monacanthidae,Meuschenia,galii,1,AD,Monacanthidae Meuschenia galii,37465040
