campaignid,sample,reef,mean_relief
2020-10_south-west_stereo-BRUVs,FH10,0.96875,2.541666667
2020-10_south-west_stereo-BRUVs,FH102,0,0.185185185
2020-10_south-west_stereo-BRUVs,FH106,0.806451613,2.173913043
2020-10_south-west_stereo-BRUVs,FH108,0.5625,1.695652174
2020-10_south-west_stereo-BRUVs,FH109,0.888888889,2.6
2020-10_south-west_stereo-BRUVs,FH11,0.357142857,1.52
2020-10_south-west_stereo-BRUVs,FH110,0.538461538,2
2020-10_south-west_stereo-BRUVs,FH111,0.432432432,1.72
2020-10_south-west_stereo-BRUVs,FH113,0.96969697,2.666666667
2020-10_south-west_stereo-BRUVs,FH12,0.866666667,2.15
2020-10_south-west_stereo-BRUVs,FH14,0.676470588,1.888888889
2020-10_south-west_stereo-BRUVs,FH15,0,0
2020-10_south-west_stereo-BRUVs,FH16,0.764705882,2.46875
2020-10_south-west_stereo-BRUVs,FH17,0.628571429,1.846153846
2020-10_south-west_stereo-BRUVs,FH18,0.545454545,2
2020-10_south-west_stereo-BRUVs,FH2,0.714285714,2.4
2020-10_south-west_stereo-BRUVs,FH20,0.6,2.05
2020-10_south-west_stereo-BRUVs,FH21,0.945945946,2.64
2020-10_south-west_stereo-BRUVs,FH23,0.689655172,2.48
2020-10_south-west_stereo-BRUVs,FH24,0.371428571,1.6
2020-10_south-west_stereo-BRUVs,FH25,0.75,2.32
2020-10_south-west_stereo-BRUVs,FH26,1,2.4375
2020-10_south-west_stereo-BRUVs,FH27,0.869565217,2.25
2020-10_south-west_stereo-BRUVs,FH28,0.03125,0.76
2020-10_south-west_stereo-BRUVs,FH30,0.935483871,2.818181818
2020-10_south-west_stereo-BRUVs,FH31,0.837837838,2.392857143
2020-10_south-west_stereo-BRUVs,FH32,0.2,0.9375
2020-10_south-west_stereo-BRUVs,FH33,0.8125,2.227272727
2020-10_south-west_stereo-BRUVs,FH34,0.838709677,2.166666667
2020-10_south-west_stereo-BRUVs,FH35,0.1,0.5
2020-10_south-west_stereo-BRUVs,FH37,0.84,2.423076923
2020-10_south-west_stereo-BRUVs,FH39,0.793103448,2.083333333
2020-10_south-west_stereo-BRUVs,FH40,0.689655172,2.130434783
2020-10_south-west_stereo-BRUVs,FH41,1,2.870967742
2020-10_south-west_stereo-BRUVs,FH42,0.971428571,2.888888889
2020-10_south-west_stereo-BRUVs,FH44,0.677419355,2.538461538
2020-10_south-west_stereo-BRUVs,FH45,0.807692308,2.608695652
2020-10_south-west_stereo-BRUVs,FH46,0.2,0.95
2020-10_south-west_stereo-BRUVs,FH47,0.96875,2.458333333
2020-10_south-west_stereo-BRUVs,FH48,1,2.7
2020-10_south-west_stereo-BRUVs,FH49,0.903225806,2.5
2020-10_south-west_stereo-BRUVs,FH5,0.916666667,2.181818182
2020-10_south-west_stereo-BRUVs,FH50,0,0
2020-10_south-west_stereo-BRUVs,FH51,0.888888889,2.71875
2020-10_south-west_stereo-BRUVs,FH52,0.8,2.222222222
2020-10_south-west_stereo-BRUVs,FH54,0.75,2.185185185
2020-10_south-west_stereo-BRUVs,FH55,0.060606061,0.703703704
2020-10_south-west_stereo-BRUVs,FH56,0.862068966,2.884615385
2020-10_south-west_stereo-BRUVs,FH57,0.628571429,2.185185185
2020-10_south-west_stereo-BRUVs,FH58,0.5625,2.173913043
2020-10_south-west_stereo-BRUVs,FH59,0.625,1.8
2020-10_south-west_stereo-BRUVs,FH6,0.909090909,2.4
2020-10_south-west_stereo-BRUVs,FH60,0.793103448,2.208333333
2020-10_south-west_stereo-BRUVs,FH61,1,2.851851852
2020-10_south-west_stereo-BRUVs,FH62,0.71875,2.333333333
2020-10_south-west_stereo-BRUVs,FH63,0.735294118,2.481481481
2020-10_south-west_stereo-BRUVs,FH64,0,0
2020-10_south-west_stereo-BRUVs,FH65,0.789473684,2.357142857
2020-10_south-west_stereo-BRUVs,FH66,1,2.92
2020-10_south-west_stereo-BRUVs,FH67,0.074074074,1
2020-10_south-west_stereo-BRUVs,FH68,0.935483871,2.52
2020-10_south-west_stereo-BRUVs,FH69,1,2.45
2020-10_south-west_stereo-BRUVs,FH7,1,2.434782609
2020-10_south-west_stereo-BRUVs,FH70,0.538461538,2
2020-10_south-west_stereo-BRUVs,FH71,0.945945946,2.71875
2020-10_south-west_stereo-BRUVs,FH72,1,2.9
